State,lat,long,Year,count,Age Group
New York (36),-73.9661407,40.7841484,1999,528,55-59 years
New York (36),-73.9661407,40.7841484,1999,39,60-64 years
New York (36),-73.9661407,40.7841484,1999,374,65-69 years
New York (36),-73.9661407,40.7841484,1999,53,70-74 years
New York (36),-73.9661407,40.7841484,1999,19,45-49 years
New York (36),-73.9661407,40.7841484,1999,79,50-54 years
New York (36),-73.9661407,40.7841484,1999,171,55-59 years
New York (36),-73.9661407,40.7841484,1999,353,60-64 years
New York (36),-73.9661407,40.7841484,1999,25,65-69 years
New York (36),-73.9661407,40.7841484,1999,396,70-74 years
New York (36),-73.9661407,40.7841484,1999,30,75-79 years
New York (36),-73.9661407,40.7841484,1999,231,80-84 years
New York (36),-73.9661407,40.7841484,1999,33,85+ years
New York (36),-73.9661407,40.7841484,1999,51,65-69 years
New York (36),-73.9661407,40.7841484,1999,120,60-64 years
New York (36),-73.9661407,40.7841484,1999,296,65-69 years
New York (36),-73.9661407,40.7841484,1999,217,70-74 years
New York (36),-73.9661407,40.7841484,1999,98,75-79 years
New York (36),-73.9661407,40.7841484,1999,16,45-49 years
New York (36),-73.9661407,40.7841484,1999,27,50-54 years
New York (36),-73.9661407,40.7841484,1999,44,55-59 years
New York (36),-73.9661407,40.7841484,1999,164,60-64 years
New York (36),-73.9661407,40.7841484,1999,104,65-69 years
New York (36),-73.9661407,40.7841484,1999,65,70-74 years
New York (36),-73.9661407,40.7841484,1999,32,75-79 years
New York (36),-73.9661407,40.7841484,1999,101,80-84 years
New York (36),-73.9661407,40.7841484,1999,23,85+ years
New York (36),-73.9661407,40.7841484,1999,18,40-44 years
New York (36),-73.9661407,40.7841484,1999,16,45-49 years
New York (36),-73.9661407,40.7841484,1999,36,50-54 years
New York (36),-73.9661407,40.7841484,1999,35,55-59 years
New York (36),-73.9661407,40.7841484,1999,34,60-64 years
New York (36),-73.9661407,40.7841484,1999,21,65-69 years
New York (36),-73.9661407,40.7841484,1999,28,70-74 years
New York (36),-73.9661407,40.7841484,1999,52,75-79 years
New York (36),-73.9661407,40.7841484,1999,121,80-84 years
