State,lat,long,Year,count,Age Group
Wyoming (56),0,0,1999,19,50-54 years
Wyoming (56),0,0,1999,26,55-59 years
Wyoming (56),0,0,1999,29,60-64 years
Wyoming (56),0,0,1999,22,65-69 years
Wyoming (56),0,0,1999,37,70-74 years
Wyoming (56),0,0,1999,25,75-79 years
Wyoming (56),0,0,1999,18,80-84 years
Wyoming (56),0,0,2000,21,50-54 years
Wyoming (56),0,0,2000,135,55-59 years
Wyoming (56),0,0,2000,49,60-64 years
Wyoming (56),0,0,2000,19,65-69 years
Wyoming (56),0,0,2000,23,70-74 years
Wyoming (56),0,0,2000,56,75-79 years
Wyoming (56),0,0,2000,55,80-84 years
Wyoming (56),0,0,2000,28,85+ years
Wyoming (56),0,0,2001,212,50-54 years
Wyoming (56),0,0,2001,102,55-59 years
Wyoming (56),0,0,2001,25,60-64 years
Wyoming (56),0,0,2001,50,65-69 years
Wyoming (56),0,0,2001,100,70-74 years
Wyoming (56),0,0,2001,128,75-79 years
Wyoming (56),0,0,2001,35,80-84 years
Wyoming (56),0,0,2001,352,85+ years
Wyoming (56),0,0,2002,31,50-54 years
Wyoming (56),0,0,2002,202,55-59 years
Wyoming (56),0,0,2002,40,60-64 years
Wyoming (56),0,0,2002,76,65-69 years
Wyoming (56),0,0,2002,142,70-74 years
Wyoming (56),0,0,2002,211,75-79 years
Wyoming (56),0,0,2002,58,80-84 years
Wyoming (56),0,0,2003,545,50-54 years
Wyoming (56),0,0,2003,44,55-59 years
Wyoming (56),0,0,2003,335,60-64 years
Wyoming (56),0,0,2003,68,65-69 years
Wyoming (56),0,0,2003,83,70-74 years
Wyoming (56),0,0,2003,168,75-79 years
Wyoming (56),0,0,2003,346,80-84 years
Wyoming (56),0,0,2003,18,85+ years
Wyoming (56),0,0,2004,49,50-54 years
Wyoming (56),0,0,2004,497,55-59 years
Wyoming (56),0,0,2004,52,60-64 years
Wyoming (56),0,0,2004,309,65-69 years
Wyoming (56),0,0,2004,51,70-74 years
Wyoming (56),0,0,2004,20,75-79 years
Wyoming (56),0,0,2004,74,80-84 years
Wyoming (56),0,0,2005,123,50-54 years
Wyoming (56),0,0,2005,326,55-59 years
Wyoming (56),0,0,2005,21,60-64 years
Wyoming (56),0,0,2005,346,65-69 years
Wyoming (56),0,0,2005,26,70-74 years
Wyoming (56),0,0,2005,204,75-79 years
Wyoming (56),0,0,2005,37,80-84 years
Wyoming (56),0,0,2006,21,50-54 years
Wyoming (56),0,0,2006,59,55-59 years
Wyoming (56),0,0,2006,86,60-64 years
Wyoming (56),0,0,2006,223,65-69 years
Wyoming (56),0,0,2006,141,70-74 years
Wyoming (56),0,0,2006,78,75-79 years
Wyoming (56),0,0,2006,17,80-84 years
Wyoming (56),0,0,2007,39,50-54 years
Wyoming (56),0,0,2007,61,55-59 years
Wyoming (56),0,0,2007,90,60-64 years
Wyoming (56),0,0,2007,91,65-69 years
Wyoming (56),0,0,2007,58,70-74 years
Wyoming (56),0,0,2007,17,75-79 years
Wyoming (56),0,0,2007,37,80-84 years
Wyoming (56),0,0,2008,78,50-54 years
Wyoming (56),0,0,2008,16,55-59 years
Wyoming (56),0,0,2008,20,60-64 years
Wyoming (56),0,0,2008,19,65-69 years
Wyoming (56),0,0,2008,21,70-74 years
Wyoming (56),0,0,2008,26,75-79 years
Wyoming (56),0,0,2008,25,80-84 years
Wyoming (56),0,0,2009,21,50-54 years
Wyoming (56),0,0,2009,46,55-59 years
Wyoming (56),0,0,2009,96,60-64 years
Wyoming (56),0,0,2009,131,65-69 years
Wyoming (56),0,0,2009,19,70-74 years
Wyoming (56),0,0,2009,37,75-79 years
Wyoming (56),0,0,2009,225,80-84 years
Wisconsin (55),0,0,1999,27,50-54 years
Wisconsin (55),0,0,1999,41,55-59 years
Wisconsin (55),0,0,1999,24,60-64 years
Wisconsin (55),0,0,1999,18,65-69 years
Wisconsin (55),0,0,1999,291,70-74 years
Wisconsin (55),0,0,1999,17,75-79 years
Wisconsin (55),0,0,1999,32,45-49 years
Wisconsin (55),0,0,1999,229,50-54 years
Wisconsin (55),0,0,1999,21,55-59 years
Wisconsin (55),0,0,1999,18,60-64 years
Wisconsin (55),0,0,1999,101,65-69 years
Wisconsin (55),0,0,1999,66,70-74 years
Wisconsin (55),0,0,1999,17,75-79 years
Wisconsin (55),0,0,1999,16,80-84 years
Wisconsin (55),0,0,1999,23,85+ years
Wisconsin (55),0,0,2000,73,55-59 years
Wisconsin (55),0,0,2000,52,60-64 years
Wisconsin (55),0,0,2000,53,65-69 years
Wisconsin (55),0,0,2000,24,70-74 years
Wisconsin (55),0,0,2000,29,40-44 years
Wisconsin (55),0,0,2000,36,45-49 years
Wisconsin (55),0,0,2000,37,50-54 years
Wisconsin (55),0,0,2000,26,55-59 years
Wisconsin (55),0,0,2000,60,60-64 years
Wisconsin (55),0,0,2000,33,65-69 years
Wisconsin (55),0,0,2000,29,70-74 years
Wisconsin (55),0,0,2000,29,75-79 years
Wisconsin (55),0,0,2000,51,80-84 years
Wisconsin (55),0,0,2000,60,85+ years
Wisconsin (55),0,0,2001,138,50-54 years
Wisconsin (55),0,0,2001,17,55-59 years
Wisconsin (55),0,0,2001,21,60-64 years
Wisconsin (55),0,0,2001,94,65-69 years
Wisconsin (55),0,0,2001,111,70-74 years
Wisconsin (55),0,0,2001,79,45-49 years
Wisconsin (55),0,0,2001,21,50-54 years
Wisconsin (55),0,0,2001,23,55-59 years
Wisconsin (55),0,0,2001,61,60-64 years
Wisconsin (55),0,0,2001,97,65-69 years
Wisconsin (55),0,0,2001,25,70-74 years
Wisconsin (55),0,0,2001,105,75-79 years
Wisconsin (55),0,0,2001,36,80-84 years
Wisconsin (55),0,0,2001,70,85+ years
Wisconsin (55),0,0,2001,203,70-74 years
Wisconsin (55),0,0,2002,66,50-54 years
Wisconsin (55),0,0,2002,87,55-59 years
Wisconsin (55),0,0,2002,67,60-64 years
Wisconsin (55),0,0,2002,110,65-69 years
Wisconsin (55),0,0,2002,22,70-74 years
Wisconsin (55),0,0,2002,71,75-79 years
Wisconsin (55),0,0,2002,258,45-49 years
Wisconsin (55),0,0,2002,21,50-54 years
Wisconsin (55),0,0,2002,41,55-59 years
Wisconsin (55),0,0,2002,192,60-64 years
Wisconsin (55),0,0,2002,183,65-69 years
Wisconsin (55),0,0,2002,159,70-74 years
Wisconsin (55),0,0,2002,25,75-79 years
Wisconsin (55),0,0,2002,22,80-84 years
Wisconsin (55),0,0,2002,94,85+ years
Wisconsin (55),0,0,2003,151,50-54 years
Wisconsin (55),0,0,2003,33,55-59 years
Wisconsin (55),0,0,2003,169,60-64 years
Wisconsin (55),0,0,2003,51,65-69 years
Wisconsin (55),0,0,2003,116,70-74 years
Wisconsin (55),0,0,2003,332,75-79 years
Wisconsin (55),0,0,2003,133,40-44 years
Wisconsin (55),0,0,2003,22,45-49 years
Wisconsin (55),0,0,2003,123,50-54 years
Wisconsin (55),0,0,2003,88,55-59 years
Wisconsin (55),0,0,2003,182,60-64 years
Wisconsin (55),0,0,2003,16,65-69 years
Wisconsin (55),0,0,2003,19,70-74 years
Wisconsin (55),0,0,2003,109,75-79 years
Wisconsin (55),0,0,2003,18,80-84 years
Wisconsin (55),0,0,2003,384,85+ years
Wisconsin (55),0,0,2004,19,50-54 years
Wisconsin (55),0,0,2004,23,55-59 years
Wisconsin (55),0,0,2004,69,60-64 years
Wisconsin (55),0,0,2004,296,65-69 years
Wisconsin (55),0,0,2004,235,70-74 years
Wisconsin (55),0,0,2004,178,75-79 years
Wisconsin (55),0,0,2004,53,40-44 years
Wisconsin (55),0,0,2004,29,45-49 years
Wisconsin (55),0,0,2004,144,50-54 years
Wisconsin (55),0,0,2004,182,55-59 years
Wisconsin (55),0,0,2004,45,60-64 years
Wisconsin (55),0,0,2004,198,65-69 years
Wisconsin (55),0,0,2004,78,70-74 years
Wisconsin (55),0,0,2004,187,75-79 years
Wisconsin (55),0,0,2004,454,80-84 years
Wisconsin (55),0,0,2004,151,85+ years
Wisconsin (55),0,0,2004,20,55-59 years
